#cam_angle[deg]	polar_radius[mm]
179.2500	17.0000000
179.5000	17.0000000
179.7500	17.0000000
180.0000	17.0000000
180.2500	17.0000000
180.5000	17.0000000
180.7500	17.0000000
181.0000	17.0000000
181.2500	17.0000000
181.5000	17.0000000
181.7500	17.0000000
182.0000	17.0000000
182.2500	17.0000000
182.5000	17.0000000
182.7500	17.0000000
183.0000	17.0000000
183.2500	17.0000000
183.5000	17.0000000
183.7500	17.0000000
184.0000	17.0000000
184.2500	17.0000000
184.5000	17.0000000
184.7500	17.0000000
185.0000	17.0000000
185.2500	17.0000000
185.5000	17.0000000
185.7500	17.0000000
186.0000	17.0000000
186.2500	17.0000000
186.5000	17.0000000
186.7500	17.0000000
187.0000	17.0000000
187.2500	17.0000000
187.5000	17.0000000
187.7500	17.0000000
188.0000	17.0000000
188.2500	17.0000000
188.5000	17.0000000
188.7500	17.0000000
189.0000	17.0000000
189.2500	17.0000000
189.5000	17.0000000
189.7500	17.0000000
190.0000	17.0000000
190.2500	17.0000000
190.5000	17.0000000
190.7500	17.0000000
191.0000	17.0000000
191.2500	17.0000000
191.5000	17.0000000
191.7500	17.0000000
192.0000	17.0000000
192.2500	17.0000000
192.5000	17.0000000
192.7500	17.0000000
193.0000	17.0000000
193.2500	17.0000000
193.5000	17.0000000
193.7500	17.0000000
194.0000	17.0000000
194.2500	17.0000000
194.5000	17.0000000
194.7500	17.0000000
195.0000	17.0000000
195.2500	17.0000000
195.5000	17.0000000
195.7500	17.0000000
196.0000	17.0000000
196.2500	17.0000000
196.5000	17.0000000
196.7500	17.0000000
197.0000	17.0000000
197.2500	17.0000000
197.5000	17.0000000
197.7500	17.0000000
198.0000	17.0000000
198.2500	17.0000000
198.5000	17.0000000
198.7500	17.0000000
199.0000	17.0000000
199.2500	17.0000000
199.5000	17.0000000
199.7500	17.0000000
200.0000	17.0000000
200.2500	17.0000000
200.5000	17.0000000
200.7500	17.0000000
201.0000	17.0000000
201.2500	17.0000000
201.5000	17.0000000
201.7500	17.0000000
202.0000	17.0000000
202.2500	17.0000000
202.5000	17.0000000
202.7500	17.0000000
203.0000	17.0000000
203.2500	17.0000000
203.5000	17.0000000
203.7500	17.0000000
204.0000	17.0000000
204.2500	17.0000000
204.5000	17.0000000
204.7500	17.0000000
205.0000	17.0000000
205.2500	17.0000000
205.5000	17.0000000
205.7500	17.0000000
206.0000	17.0000000
206.2500	17.0000000
206.5000	17.0000000
206.7500	17.0000000
207.0000	17.0000000
207.2500	17.0000000
207.5000	17.0000000
207.7500	17.0000000
208.0000	17.0000000
208.2500	17.0000000
208.5000	17.0000000
208.7500	17.0000000
209.0000	17.0000000
209.2500	17.0000000
209.5000	17.0000000
209.7500	17.0000000
210.0000	17.0000000
210.2500	17.0000000
210.5000	17.0000000
210.7500	17.0000000
211.0000	17.0000000
211.2500	17.0000000
211.5000	17.0000000
211.7500	17.0000000
212.0000	17.0000000
212.2500	17.0000000
212.5000	17.0000000
212.7500	17.0000000
213.0000	17.0000000
213.2500	17.0000000
213.5000	17.0000000
213.7500	17.0000000
214.0000	17.0000000
214.2500	17.0000000
214.5000	17.0000000
214.7500	17.0000000
215.0000	17.0000000
215.2500	17.0000000
215.5000	17.0000000
215.7500	17.0000000
216.0000	17.0000000
216.2500	17.0000000
216.5000	17.0000000
216.7500	17.0000000
217.0000	17.0000000
217.2500	17.0000000
217.5000	17.0000000
217.7500	17.0000000
218.0000	17.0000000
218.2500	17.0000000
218.5000	17.0000000
218.7500	17.0000000
219.0000	17.0000000
