#cam_angle[deg]	polar_radius[mm]
151.5000	17.0356670
151.7500	17.0337510
152.0000	17.0319050
152.2500	17.0301260
152.5000	17.0284130
152.7500	17.0267660
153.0000	17.0251830
153.2500	17.0236630
153.5000	17.0222040
153.7500	17.0208050
154.0000	17.0194660
154.2500	17.0181850
154.5000	17.0169610
154.7500	17.0157920
155.0000	17.0146780
155.2500	17.0136160
155.5000	17.0126070
155.7500	17.0116500
156.0000	17.0107430
156.2500	17.0098840
156.5000	17.0090720
156.7500	17.0083050
157.0000	17.0075820
157.2500	17.0069020
157.5000	17.0062630
157.7500	17.0056650
158.0000	17.0051060
158.2500	17.0045850
158.5000	17.0041000
158.7500	17.0036500
159.0000	17.0032350
159.2500	17.0028520
159.5000	17.0025000
159.7500	17.0021790
160.0000	17.0018860
160.2500	17.0016200
160.5000	17.0013810
160.7500	17.0011670
161.0000	17.0009750
161.2500	17.0008060
161.5000	17.0006580
161.7500	17.0005290
162.0000	17.0004190
162.2500	17.0003250
162.5000	17.0002460
162.7500	17.0001810
163.0000	17.0001290
163.2500	17.0000880
163.5000	17.0000570
163.7500	17.0000350
164.0000	17.0000190
164.2500	17.0000090
164.5000	17.0000040
164.7500	17.0000010
165.0000	17.0000000
165.2500	17.0000000
165.5000	17.0000000
165.7500	17.0000000
166.0000	17.0000000
166.2500	17.0000000
166.5000	17.0000000
166.7500	17.0000000
167.0000	17.0000000
167.2500	17.0000000
167.5000	17.0000000
167.7500	17.0000000
168.0000	17.0000000
168.2500	17.0000000
168.5000	17.0000000
168.7500	17.0000000
169.0000	17.0000000
169.2500	17.0000000
169.5000	17.0000000
169.7500	17.0000000
170.0000	17.0000000
170.2500	17.0000000
170.5000	17.0000000
170.7500	17.0000000
171.0000	17.0000000
171.2500	17.0000000
171.5000	17.0000000
171.7500	17.0000000
172.0000	17.0000000
172.2500	17.0000000
172.5000	17.0000000
172.7500	17.0000000
173.0000	17.0000000
173.2500	17.0000000
173.5000	17.0000000
173.7500	17.0000000
174.0000	17.0000000
174.2500	17.0000000
174.5000	17.0000000
174.7500	17.0000000
175.0000	17.0000000
175.2500	17.0000000
175.5000	17.0000000
175.7500	17.0000000
176.0000	17.0000000
176.2500	17.0000000
176.5000	17.0000000
176.7500	17.0000000
177.0000	17.0000000
177.2500	17.0000000
177.5000	17.0000000
177.7500	17.0000000
178.0000	17.0000000
178.2500	17.0000000
178.5000	17.0000000
178.7500	17.0000000
179.0000	17.0000000
179.2500	17.0000000
179.5000	17.0000000
179.7500	17.0000000
180.0000	17.0000000
180.2500	17.0000000
180.5000	17.0000000
180.7500	17.0000000
181.0000	17.0000000
181.2500	17.0000000
181.5000	17.0000000
181.7500	17.0000000
182.0000	17.0000000
182.2500	17.0000000
182.5000	17.0000000
182.7500	17.0000000
183.0000	17.0000000
183.2500	17.0000000
183.5000	17.0000000
183.7500	17.0000000
184.0000	17.0000000
184.2500	17.0000000
184.5000	17.0000000
184.7500	17.0000000
185.0000	17.0000000
185.2500	17.0000000
185.5000	17.0000000
185.7500	17.0000000
186.0000	17.0000000
186.2500	17.0000000
186.5000	17.0000000
186.7500	17.0000000
187.0000	17.0000000
187.2500	17.0000000
187.5000	17.0000000
187.7500	17.0000000
188.0000	17.0000000
188.2500	17.0000000
188.5000	17.0000000
188.7500	17.0000000
189.0000	17.0000000
189.2500	17.0000000
189.5000	17.0000000
189.7500	17.0000000
190.0000	17.0000000
190.2500	17.0000000
190.5000	17.0000000
190.7500	17.0000000
191.0000	17.0000000
191.2500	17.0000000
191.5000	17.0000000
191.7500	17.0000000
192.0000	17.0000000
192.2500	17.0000000
192.5000	17.0000000
192.7500	17.0000000
193.0000	17.0000000
193.2500	17.0000000
193.5000	17.0000000
193.7500	17.0000000
194.0000	17.0000000
194.2500	17.0000000
194.5000	17.0000000
194.7500	17.0000000
195.0000	17.0000000
195.2500	17.0000000
195.5000	17.0000000
195.7500	17.0000000
196.0000	17.0000000
196.2500	17.0000000
196.5000	17.0000000
196.7500	17.0000000
197.0000	17.0000000
197.2500	17.0000000
197.5000	17.0000000
197.7500	17.0000000
198.0000	17.0000000
198.2500	17.0000000
198.5000	17.0000000
198.7500	17.0000000
199.0000	17.0000000
199.2500	17.0000000
199.5000	17.0000000
199.7500	17.0000000
200.0000	17.0000000
200.2500	17.0000000
200.5000	17.0000000
200.7500	17.0000000
201.0000	17.0000000
201.2500	17.0000000
201.5000	17.0000000
201.7500	17.0000000
202.0000	17.0000000
202.2500	17.0000000
202.5000	17.0000000
202.7500	17.0000000
203.0000	17.0000000
203.2500	17.0000000
203.5000	17.0000000
203.7500	17.0000000
204.0000	17.0000000
204.2500	17.0000000
204.5000	17.0000000
204.7500	17.0000000
205.0000	17.0000000
205.2500	17.0000000
205.5000	17.0000000
205.7500	17.0000000
206.0000	17.0000000
206.2500	17.0000000
206.5000	17.0000000
206.7500	17.0000000
207.0000	17.0000000
207.2500	17.0000000
207.5000	17.0000000
207.7500	17.0000000
208.0000	17.0000000
208.2500	17.0000000
208.5000	17.0000000
208.7500	17.0000000
209.0000	17.0000000
209.2500	17.0000000
209.5000	17.0000000
209.7500	17.0000000
210.0000	17.0000000
210.2500	17.0000000
210.5000	17.0000000
210.7500	17.0000000
211.0000	17.0000000
211.2500	17.0000000
211.5000	17.0000000
211.7500	17.0000000
212.0000	17.0000000
212.2500	17.0000000
212.5000	17.0000000
212.7500	17.0000000
213.0000	17.0000000
213.2500	17.0000000
213.5000	17.0000000
213.7500	17.0000000
214.0000	17.0000000
214.2500	17.0000000
214.5000	17.0000000
214.7500	17.0000000
215.0000	17.0000000
215.2500	17.0000000
215.5000	17.0000000
215.7500	17.0000000
216.0000	17.0000000
216.2500	17.0000000
216.5000	17.0000000
216.7500	17.0000000
217.0000	17.0000000
217.2500	17.0000000
217.5000	17.0000000
217.7500	17.0000000
218.0000	17.0000000
218.2500	17.0000000
218.5000	17.0000000
218.7500	17.0000000
219.0000	17.0000000
219.2500	17.0000000
219.5000	17.0000000
219.7500	17.0000000
220.0000	17.0000000
220.2500	17.0000000
220.5000	17.0000000
220.7500	17.0000000
221.0000	17.0000000
221.2500	17.0000000
221.5000	17.0000000
221.7500	17.0000000
222.0000	17.0000000
222.2500	17.0000000
222.5000	17.0000000
222.7500	17.0000000
223.0000	17.0000000
223.2500	17.0000000
223.5000	17.0000000
223.7500	17.0000000
224.0000	17.0000000
224.2500	17.0000000
224.5000	17.0000000
224.7500	17.0000000
225.0000	17.0000000
225.2500	17.0000000
225.5000	17.0000000
225.7500	17.0000000
226.0000	17.0000000
226.2500	17.0000000
226.5000	17.0000000
226.7500	17.0000000
227.0000	17.0000000
227.2500	17.0000000
227.5000	17.0000000
227.7500	17.0000000
228.0000	17.0000000
228.2500	17.0000000
228.5000	17.0000000
228.7500	17.0000000
229.0000	17.0000000
229.2500	17.0000000
229.5000	17.0000000
229.7500	17.0000000
230.0000	17.0000000
230.2500	17.0000000
230.5000	17.0000000
230.7500	17.0000000
231.0000	17.0000000
231.2500	17.0000000
231.5000	17.0000000
231.7500	17.0000000
232.0000	17.0000000
232.2500	17.0000000
232.5000	17.0000000
232.7500	17.0000000
233.0000	17.0000000
233.2500	17.0000000
233.5000	17.0000000
233.7500	17.0000000
234.0000	17.0000000
234.2500	17.0000000
234.5000	17.0000000
234.7500	17.0000000
235.0000	17.0000000
235.2500	17.0000000
235.5000	17.0000000
235.7500	17.0000000
236.0000	17.0000000
236.2500	17.0000000
236.5000	17.0000000
236.7500	17.0000000
237.0000	17.0000000
237.2500	17.0000000
237.5000	17.0000000
237.7500	17.0000000
238.0000	17.0000000
238.2500	17.0000000
238.5000	17.0000000
238.7500	17.0000000
239.0000	17.0000000
239.2500	17.0000000
239.5000	17.0000000
239.7500	17.0000000
240.0000	17.0000000
240.2500	17.0000000
240.5000	17.0000000
240.7500	17.0000000
241.0000	17.0000000
241.2500	17.0000000
241.5000	17.0000000
241.7500	17.0000000
242.0000	17.0000000
242.2500	17.0000000
242.5000	17.0000000
242.7500	17.0000000
243.0000	17.0000000
243.2500	17.0000000
243.5000	17.0000000
243.7500	17.0000000
244.0000	17.0000000
244.2500	17.0000000
244.5000	17.0000000
244.7500	17.0000000
245.0000	17.0000000
245.2500	17.0000000
245.5000	17.0000000
245.7500	17.0000000
246.0000	17.0000000
246.2500	17.0000000
246.5000	17.0000000
246.7500	17.0000000
247.0000	17.0000000
247.2500	17.0000000
247.5000	17.0000000
247.7500	17.0000000
248.0000	17.0000000
248.2500	17.0000000
248.5000	17.0000000
248.7500	17.0000000
249.0000	17.0000000
249.2500	17.0000000
249.5000	17.0000000
249.7500	17.0000000
250.0000	17.0000000
250.2500	17.0000000
250.5000	17.0000000
250.7500	17.0000000
251.0000	17.0000000
251.2500	17.0000000
251.5000	17.0000000
251.7500	17.0000000
252.0000	17.0000000
252.2500	17.0000000
252.5000	17.0000000
252.7500	17.0000000
253.0000	17.0000000
253.2500	17.0000000
253.5000	17.0000000
253.7500	17.0000000
254.0000	17.0000000
254.2500	17.0000000
254.5000	17.0000000
254.7500	17.0000000
255.0000	17.0000000
255.2500	17.0000000
255.5000	17.0000000
255.7500	17.0000000
256.0000	17.0000000
256.2500	17.0000000
256.5000	17.0000000
256.7500	17.0000000
257.0000	17.0000000
257.2500	17.0000000
257.5000	17.0000000
257.7500	17.0000000
258.0000	17.0000000
258.2500	17.0000000
258.5000	17.0000000
258.7500	17.0000000
259.0000	17.0000000
259.2500	17.0000000
259.5000	17.0000000
259.7500	17.0000000
260.0000	17.0000000
260.2500	17.0000000
260.5000	17.0000000
260.7500	17.0000000
261.0000	17.0000000
261.2500	17.0000000
261.5000	17.0000000
261.7500	17.0000000
262.0000	17.0000000
262.2500	17.0000000
262.5000	17.0000000
262.7500	17.0000000
263.0000	17.0000000
263.2500	17.0000000
263.5000	17.0000000
263.7500	17.0000000
264.0000	17.0000000
264.2500	17.0000000
264.5000	17.0000000
264.7500	17.0000000
265.0000	17.0000000
265.2500	17.0000000
265.5000	17.0000000
265.7500	17.0000000
266.0000	17.0000000
266.2500	17.0000000
266.5000	17.0000000
266.7500	17.0000000
267.0000	17.0000000
267.2500	17.0000000
267.5000	17.0000000
267.7500	17.0000000
268.0000	17.0000000
268.2500	17.0000000
268.5000	17.0000000
268.7500	17.0000000
269.0000	17.0000000
269.2500	17.0000000
269.5000	17.0000000
269.7500	17.0000000
270.0000	17.0000000
270.2500	17.0000000
270.5000	17.0000000
270.7500	17.0000000
271.0000	17.0000000
271.2500	17.0000000
271.5000	17.0000000
271.7500	17.0000000
272.0000	17.0000000
272.2500	17.0000000
272.5000	17.0000000
272.7500	17.0000000
273.0000	17.0000000
273.2500	17.0000000
273.5000	17.0000000
273.7500	17.0000000
274.0000	17.0000000
274.2500	17.0000000
274.5000	17.0000000
274.7500	17.0000000
275.0000	17.0000000
275.2500	17.0000000
275.5000	17.0000000
275.7500	17.0000000
276.0000	17.0000000
276.2500	17.0000000
276.5000	17.0000000
276.7500	17.0000000
277.0000	17.0000000
277.2500	17.0000000
277.5000	17.0000000
277.7500	17.0000000
278.0000	17.0000000
278.2500	17.0000000
278.5000	17.0000000
278.7500	17.0000000
279.0000	17.0000000
279.2500	17.0000000
279.5000	17.0000000
279.7500	17.0000000
280.0000	17.0000000
280.2500	17.0000000
280.5000	17.0000000
280.7500	17.0000000
281.0000	17.0000000
281.2500	17.0000000
281.5000	17.0000000
281.7500	17.0000000
282.0000	17.0000000
282.2500	17.0000000
282.5000	17.0000000
282.7500	17.0000000
283.0000	17.0000000
283.2500	17.0000000
283.5000	17.0000000
283.7500	17.0000000
284.0000	17.0000000
284.2500	17.0000000
284.5000	17.0000000
284.7500	17.0000000
285.0000	17.0000000
285.2500	17.0000000
285.5000	17.0000000
285.7500	17.0000000
286.0000	17.0000000
286.2500	17.0000000
286.5000	17.0000000
286.7500	17.0000000
287.0000	17.0000000
287.2500	17.0000000
287.5000	17.0000000
287.7500	17.0000000
288.0000	17.0000000
288.2500	17.0000000
288.5000	17.0000000
288.7500	17.0000000
289.0000	17.0000000
289.2500	17.0000000
289.5000	17.0000000
289.7500	17.0000000
290.0000	17.0000000
290.2500	17.0000000
290.5000	17.0000000
290.7500	17.0000000
291.0000	17.0000000
291.2500	17.0000000
291.5000	17.0000000
291.7500	17.0000000
292.0000	17.0000000
292.2500	17.0000000
292.5000	17.0000000
292.7500	17.0000000
293.0000	17.0000000
293.2500	17.0000000
293.5000	17.0000000
293.7500	17.0000000
294.0000	17.0000000
294.2500	17.0000000
294.5000	17.0000000
294.7500	17.0000000
295.0000	17.0000000
295.2500	17.0000000
295.5000	17.0000000
295.7500	17.0000000
296.0000	17.0000000
296.2500	17.0000000
296.5000	17.0000000
296.7500	17.0000000
297.0000	17.0000000
297.2500	17.0000000
297.5000	17.0000000
297.7500	17.0000000
298.0000	17.0000000
298.2500	17.0000000
298.5000	17.0000000
298.7500	17.0000000
299.0000	17.0000000
299.2500	17.0000000
299.5000	17.0000000
299.7500	17.0000000
300.0000	17.0000000
300.2500	17.0000000
300.5000	17.0000000
300.7500	17.0000000
301.0000	17.0000000
301.2500	17.0000000
301.5000	17.0000000
301.7500	17.0000000
302.0000	17.0000000
302.2500	17.0000000
302.5000	17.0000000
302.7500	17.0000000
303.0000	17.0000000
303.2500	17.0000000
303.5000	17.0000000
303.7500	17.0000000
304.0000	17.0000000
304.2500	17.0000000
304.5000	17.0000000
304.7500	17.0000000
